address,cars,bluecar counter,utilib_counter,utilib_counter,charge_slots,charging status,city,kind,postal_code,rental_status,slots,station_type,status,subscription_status,year,month,day,hour,minute,timestamp,Total_cars
2 Rue Jean-Jacques Rousseau,5,5,0,0,0,nonexistent,Asni̬res-sur-Seine,STATION,92600,operational,0,station,ok,nonexistent,2018,4,8,3,10,2018-04-08 03:10:00,5
55 avenue de S̩gur,3,3,1,0,1,operational,Paris,STATION,75007,operational,2,station,ok,nonexistent,2018,4,1,17,48,2018-04-01 17:48:00,4
81 Avenue Bosquet,0,0,0,0,2,operational,Paris,STATION,75007,operational,3,station,ok,nonexistent,2018,4,8,8,2,2018-04-08 08:02:00,0
102 Boulevard Raymond Poincar̩,6,6,0,0,0,nonexistent,Garches,STATION,92380,operational,0,station,ok,nonexistent,2018,4,1,6,13,2018-04-01 06:13:00,6
17 Avenue Victoria,1,1,0,0,0,operational,Paris,STATION,75001,operational,4,station,ok,nonexistent,2018,4,6,4,41,2018-04-06 04:41:00,1
2 Rue Marcelin Berthelot,1,1,0,0,0,nonexistent,Drancy,STATION,93700,operational,2,station,ok,nonexistent,2018,4,4,13,27,2018-04-04 13:27:00,1
31 Boulevard Rochechouart,2,2,2,0,0,operational,Paris,STATION,75009,operational,1,station,ok,nonexistent,2018,4,4,2,59,2018-04-04 02:59:00,4
1 rue Jules Lef̬bvre,0,0,0,0,2,operational,Paris,STATION,75009,operational,6,station,ok,nonexistent,2018,4,6,11,42,2018-04-06 11:42:00,0
24 boulevard Diderot,0,0,0,0,0,operational,Paris,SPACE,75012,operational,4,full_station,ok,operational,2018,4,2,3,38,2018-04-02 03:38:00,0
4 Rue Lobau,0,0,0,0,0,nonexistent,Paris,PARKING,75004,broken,0,station,closed,broken,2018,4,8,14,3,2018-04-08 14:03:00,0
2 rue du Charolais,2,2,0,0,1,operational,Paris,STATION,75012,operational,4,station,ok,nonexistent,2018,4,9,6,50,2018-04-09 06:50:00,2
41 avenue de Verdun,5,5,0,1,0,nonexistent,La Garenne-Colombes,STATION,92250,operational,0,station,ok,nonexistent,2018,4,9,20,37,2018-04-09 20:37:00,6
34 avenue Jean Moulin,3,3,0,0,0,nonexistent,Paris,STATION,75014,operational,2,station,ok,nonexistent,2018,4,7,5,22,2018-04-07 05:22:00,3
32 rue Robert Marchand,5,5,0,0,0,nonexistent,Fontenay-aux-Roses,STATION,92260,operational,0,station,ok,nonexistent,2018,4,5,20,58,2018-04-05 20:58:00,5
41 Boulevard Bourdon,0,0,0,0,0,nonexistent,Paris,SPACE,75004,operational,4,full_station,ok,operational,2018,4,1,7,55,2018-04-01 07:55:00,0
1 Rue du Colonel Pierre Avia,0,0,0,0,2,operational,Paris,STATION,75015,operational,4,station,ok,nonexistent,2018,4,7,22,52,2018-04-07 22:52:00,0
17 Avenue Victoria,0,0,0,0,1,operational,Paris,STATION,75001,operational,5,station,ok,nonexistent,2018,4,8,6,8,2018-04-08 06:08:00,0
10 Rue Sadi Carnot,2,2,0,0,0,nonexistent,Asni̬res-sur-Seine,STATION,92600,operational,0,station,ok,nonexistent,2018,4,5,23,23,2018-04-05 23:23:00,2
171 Rue de la Convention,3,3,0,0,0,nonexistent,Paris,STATION,75015,operational,0,station,ok,nonexistent,2018,4,7,10,58,2018-04-07 10:58:00,3
4 Rue Lobau,0,0,0,0,0,nonexistent,Paris,PARKING,75004,operational,4,station,ok,operational,2018,4,6,7,9,2018-04-06 07:09:00,0
17 boulevard Saint-Martin,0,0,0,0,0,nonexistent,Paris,STATION,75003,operational,2,station,ok,nonexistent,2018,4,8,11,48,2018-04-08 11:48:00,0
